
  ┌                       ┐
  │  -0.04342396268106778 │
  │    -0.764333493047534 │
  │   -0.3755809652816766 │
  │  -0.35680592860173943 │
  │  -0.33896944321943956 │
  │   -0.3220245915945712 │
  │    -0.305926801562812 │
  │   -0.2906337290919802 │
  │  -0.27610514689922583 │
  │   -0.2623028386361736 │
  │  -0.24919049836367776 │
  │  -0.23673363505176556 │
  │   -0.2248994818535641 │
  │  -0.21365690991456082 │
  │   -0.2029763464904814 │
  │   -0.1928296971583984 │
  │  -0.18319027191645382 │
  │  -0.17403271497780645 │
  │   -0.1653329380741318 │
  │   -0.1570680570932344 │
  │   -0.1492163318841033 │
  │  -0.14175710907107114 │
  │  -0.13467076772665512 │
  │  -0.12793866776017526 │
  │  -0.12154310088639053 │
  │  -0.11546724404517959 │
  │  -0.10969511514973987 │
  │  -0.10421153104690414 │
  │   -0.0990020675789921 │
  │  -0.09405302164214285 │
  │  -0.08935137514132563 │
  │   -0.0848847607472147 │
  │  -0.08064142936485509 │
  │  -0.07661021922854741 │
  │  -0.07278052654165826 │
  │  -0.06914227758412667 │
  │  -0.06568590221429717 │
  │ -0.062402308695378314 │
  │  -0.10922016550904982 │
  └                       ┘

